fs,D0,N0,D1,N1,D2,N2,R
-30.005859375,(-0.3874933123588562-0.9143922328948975j),(-0.0014373393496498466-0.0006771647604182363j),(-0.3863856792449951-0.9131192564964294j),(-0.0016164790140464902-0.00028815254336223006j),(-0.38481608033180237-0.9121363759040833j),(-0.0007871214766055346+0.00043010865920223296j),(1.0004820823669434+0.0009708055877126753j)
-29.997070312500004,(-0.3117712736129761-0.9415565729141235j),(-0.0013708238257095218-0.000688305648509413j),(-0.31070661544799805-0.9403427243232727j),(-0.0015714579494670033-0.0002895114303100854j),(-0.3091254234313965-0.9394283890724182j),(-0.0007437581080012023+0.0004319597501307726j),(1.0003769397735596+0.0009832836221903563j)
-29.98828125,(-0.23393401503562927-0.96245276927948j),(-0.0013038344914093614-0.0006993652787059546j),(-0.232913076877594-0.961306631565094j),(-0.0015261272201314569-0.00029080614331178367j),(-0.23132416605949402-0.9604640603065491j),(-0.0007001624908298254+0.00043367635225877166j),(1.0002690553665161+0.0009952484397217631j)
-29.979492187500004,(-0.15450237691402435-0.9769465327262878j),(-0.0012363875284790993-0.0007103435928002j),(-0.15352632105350494-0.9758767485618591j),(-0.0014804971870034933-0.0002920391852967441j),(-0.15193317830562592-0.9751091003417969j),(-0.0006563460337929428+0.00043525866931304336j),(1.0001585483551025+0.001006843987852335j)
-29.97070312500001,(-0.07400906831026077-0.9849472641944885j),(-0.0011685003992170095-0.0007212379132397473j),(-0.07307782769203186-0.9839615821838379j),(-0.0014345798408612609-0.00029320563771761954j),(-0.07148444652557373-0.9832713603973389j),(-0.0006123172934167087+0.0004367051587905735j),(1.0000455379486084+0.0010180015815421939j)
-29.9619140625,(0.007007916457951069-0.9864069819450378j),(-0.001100186724215746-0.000732046493794769j),(0.007893862202763557-0.9855126738548279j),(-0.001388389733619988-0.00029431097209453583j),(0.009483418427407742-0.9849021434783936j),(-0.0005680869217030704+0.0004380151513032615j),(0.9999301433563232+0.0010287906043231487j)
-29.953124999999993,(0.08800589293241501-0.9813212156295776j),(-0.0010314693208783865-0.0007427675882354379j),(0.08884691447019577-0.9805248975753784j),(-0.0013419381575658917-0.00029535157955251634j),(0.0904284119606018-0.9799962043762207j),(-0.0005236653960309923+0.0004391884140204638j),(0.9998121857643127+0.0010391662362962961j)
-29.944335937499996,(0.1684432327747345-0.9697284698486328j),(-0.000962362508289516-0.0007534007891081274j),(0.16924002766609192-0.9690355658531189j),(-0.0012952416436746716-0.00029632612131536007j),(0.17080910503864288-0.9685900807380676j),(-0.00047906217514537275+0.00044022544170729816j),(0.9996917843818665+0.0010490254499018192j)
-29.935546875000004,(0.24778226017951965-0.9517103433609009j),(-0.0008928835741244256-0.0007639416726306081j),(0.24853573739528656-0.9511258602142334j),(-0.001248309388756752-0.00029723625630140305j),(0.2500876486301422-0.9507650136947632j),(-0.0004342873580753803+0.00044112492469139397j),(0.9995689988136292+0.0010584709234535694j)
-29.9267578125,(0.3254927694797516-0.9273907542228699j),(-0.0008230518433265388-0.0007743907044641674j),(0.3262037932872772-0.9269185662269592j),(-0.0012011557118967175-0.00029808052931912243j),(0.327734112739563-0.9266430735588074j),(-0.0003893509856425226+0.00044188633910380304j),(0.9994440078735352+0.0010673858923837543j)
-29.917968750000014,(0.4010554850101471-0.896935224533081j),(-0.0007528831483796239-0.0007847447413951159j),(0.4017259478569031-0.8965785503387451j),(-0.0011537966784089804-0.0002988588821608573j),(0.4032300114631653-0.8963889479637146j),(-0.000344264495652169+0.00044251044164411724j),(0.9993165731430054+0.001075904001481831j)
-29.909179687500007,(0.47396615147590637-0.86054927110672j),(-0.0006823984440416098-0.000795002852100879j),(0.4745972454547882-0.8603100180625916j),(-0.0011062421835958958-0.0002995733229909092j),(0.4760704040527344-0.8602066040039062j),(-0.00029903752147220075+0.000442995602497831j),(0.999187171459198+0.0010838720481842756j)
-29.900390624999996,(0.543737530708313-0.8184774518013j),(-0.000611610768828541-0.0008051637560129166j),(0.5443314909934998-0.8183569312095642j),(-0.0010585066629573703-0.0003002180310431868j),(0.5457689762115479-0.8183391094207764j),(-0.00025367914349772036+0.0004433426074683666j),(0.9990552067756653+0.001091446727514267j)
-29.891601562499993,(0.6099045276641846-0.7710014581680298j),(-0.0005405412521213293-0.0008152248337864876j),(0.6104633808135986-0.7709999680519104j),(-0.0010106059489771724-0.0003007985942531377j),(0.6118605136871338-0.7710675597190857j),(-0.00020820225472562015+0.0004435507580637932j),(0.9989215135574341+0.0010984234977513552j)
-29.882812500000007,(0.6720259189605713-0.7184386253356934j),(-0.00046920758904889226-0.0008251849794760346j),(0.6725513935089111-0.7185550928115845j),(-0.0009625504026189446-0.00030131221865303814j),(0.6739038228988647-0.7187070250511169j),(-0.00016261417476926+0.00044362040353007615j),(0.9987854957580566+0.001104914816096425j)
-29.874023437500004,(0.7296870350837708-0.6611388325691223j),(-0.0003976275911554694-0.0008350444259122014j),(0.7301819324493408-0.661371648311615j),(-0.0009143530623987317-0.0003017566923517734j),(0.7314847707748413-0.661607027053833j),(-0.00011692770203808323+0.0004435507289599627j),(0.9986476898193359+0.0011109631741419435j)
-29.865234374999996,(0.7825040221214294-0.5994833707809448j),(-0.00032581965206190944-0.0008447967120446265j),(0.7829706072807312-0.599829912185669j),(-0.0008660289458930492-0.00030213469290174544j),(0.7842195630073547-0.600147008895874j),(-7.115257903933525e-05+0.0004433424328453839j),(0.9985076785087585+0.0011164700845256448j)
-29.8564453125,(0.8301247358322144-0.5338814854621887j),(-0.0002538015251047909-0.0008544461452402174j),(0.8305655121803284-0.534338116645813j),(-0.0008175933035090566-0.00030244566733017564j),(0.831756055355072-0.534735381603241j),(-2.529893390601501e-05+0.0004429953987710178j),(0.9983659386634827+0.0011214606929570436j)
