fs,D0,N0,D1,N1,D2,N2,R
-29.882812500000007,(0.2359035313129425-0.8622482419013977j),(0.013151559978723526-0.0001959141663974151j),(0.2360592484474182-0.8598256707191467j),(0.009814136661589146+0.0009734652121551335j),(0.23637892305850983-0.8587865829467773j),(0.0046867746859788895+0.0005027781589888036j),(0.9961880445480347+0.0012280141236260533j)
-29.874023437500004,(0.2637166678905487-0.8151410222053528j),(0.013163696974515915-0.0001930931321112439j),(0.2638241648674011-0.8128171563148499j),(0.009822878055274487+0.0009749840828590095j),(0.26408931612968445-0.811829686164856j),(0.0046907574869692326+0.0005025191348977387j),(0.9960823655128479+0.0011928192107006907j)
-29.865234374999996,(0.29020023345947266-0.7626010775566101j),(0.013175655156373978-0.00019026575319003314j),(0.2902623116970062-0.760384738445282j),(0.009831474162638187+0.0009765010327100754j),(0.2904719412326813-0.7594498991966248j),(0.004694688133895397+0.000502259295899421j),(0.9959754943847656+0.0011581711005419493j)
-29.8564453125,(0.315167635679245-0.7049703598022461j),(0.013187438249588013-0.00018743093824014068j),(0.31518688797950745-0.7028687596321106j),(0.009839924052357674+0.0009780193213373423j),(0.31534042954444885-0.7019878625869751j),(0.004698568489402533+0.0005019995151087642j),(0.9958673119544983+0.0011239093728363514j)
-29.847656250000004,(0.33843994140625-0.642624020576477j),(0.013199045322835445-0.00018459050625097007j),(0.3384188711643219-0.6406441330909729j),(0.009848231449723244+0.0009795334190130234j),(0.33851614594459534-0.6398183107376099j),(0.004702398087829351+0.0005017382209189236j),(0.995758056640625+0.0010900999186560512j)
-29.8388671875,(0.35984712839126587-0.5759686231613159j),(0.013210475444793701-0.0001817420998122543j),(0.35978803038597107-0.5741167664527893j),(0.009856394492089748+0.0009810494957491755j),(0.3598293960094452-0.5733470916748047j),(0.0047061750665307045+0.0005014768103137612j),(0.9956473708152771+0.0010567239951342344j)
-29.830078125000004,(0.37922897934913635-0.5054398775100708j),(0.013221727684140205-0.00017888798902276903j),(0.3791346549987793-0.5037214159965515j),(0.00986440945416689+0.000982564757578075j),(0.37912052869796753-0.5030084252357483j),(0.00470990315079689+0.0005012149340473115j),(0.9955357313156128+0.0010240827687084675j)
-29.82128906250001,(0.3964366614818573-0.43149900436401367j),(0.013232801109552383-0.00017602792649995536j),(0.39630958437919617-0.42991870641708374j),(0.00987228099256754+0.0009840800194069743j),(0.396240234375-0.4292627274990082j),(0.004713576752692461+0.0005009526503272355j),(0.9954229593276978+0.000991710228845477j)
-29.8125,(0.41133391857147217-0.3546299338340759j),(0.013243701308965683-0.00017316282901447266j),(0.41117623448371887-0.35319167375564575j),(0.009880008175969124+0.0009855946991592646j),(0.41105324029922485-0.35259300470352173j),(0.0047172014601528645+0.0005006883875466883j),(0.995309054851532+0.0009600928169675171j)
-29.803710937500007,(0.4237973988056183-0.27533653378486633j),(0.013254420831799507-0.0001702875888440758j),(0.42361173033714294-0.2740432918071747j),(0.00988758821040392+0.000987110659480095j),(0.42343607544898987-0.27350205183029175j),(0.004720773547887802+0.000500424939673394j),(0.9951942563056946+0.0009287443244829774j)
-29.794921874999996,(0.4337190091609955-0.1941387802362442j),(0.013264964334666729-0.00016740938008297235j),(0.4335072636604309-0.19299280643463135j),(0.009895024821162224+0.0009886235930025578j),(0.433280885219574-0.1925085186958313j),(0.004724295809864998+0.000500161200761795j),(0.995078444480896+0.0008980282582342625j)
-29.786132812500004,(0.4410046339035034-0.1115698367357254j),(0.01327532809227705-0.0001645226002437994j),(0.4407693147659302-0.11057259887456894j),(0.009902311488986015+0.0009901367593556643j),(0.44049373269081116-0.11014480143785477j),(0.0047277649864554405+0.0004998969961889088j),(0.9949617981910706+0.000868062605150044j)
-29.77734375,(0.44557738304138184-0.028172070160508156j),(0.013285513035953045-0.00016163077089004219j),(0.44532012939453125-0.02732405811548233j),(0.009909453801810741+0.0009916507406160235j),(0.44499754905700684-0.02695176564157009j),(0.004731184337288141+0.0004996315692551434j),(0.9948442578315735+0.0008383287349715829j)
-29.7685546875,(0.4473764896392822+0.05550611391663551j),(0.013295519165694714-0.00015873157826717943j),(0.44709914922714233+0.05620526522397995j),(0.009916449896991253+0.0009931628592312336j),(0.4467323422431946+0.05652276426553726j),(0.00473454874008894+0.000499366142321378j),(0.9947260022163391+0.0008093797951005399j)
-29.759765625000004,(0.4463580846786499+0.13891395926475525j),(0.01330534741282463-0.00015582769992761314j),(0.44606274366378784+0.13946565985679626j),(0.009923302568495274+0.000994674046523869j),(0.44565412402153015+0.1397298276424408j),(0.0047378637827932835+0.0004991000751033425j),(0.9946070909500122+0.0007809250964783132j)
-29.750976562499996,(0.44249704480171204+0.221502423286438j),(0.013314994983375072-0.00015291567251551896j),(0.4421848654747009+0.2219085693359375j),(0.009930005297064781+0.0009961866308003664j),(0.441737562417984+0.22212085127830505j),(0.004741125740110874+0.0004988337168470025j),(0.9944873452186584+0.0007531404844485223j)
-29.742187499999993,(0.4357852339744568+0.3027268350124359j),(0.013324464671313763-0.00014999978884588927j),(0.4354582726955414+0.30299049615859985j),(0.009936561807990074+0.0009976980509236455j),(0.43497511744499207+0.303152471780777j),(0.004744337406009436+0.0004985666018910706j),(0.9943670630455017+0.0007258824189193547j)
-29.733398437500007,(0.4262341260910034+0.3820517361164093j),(0.013333753682672977-0.00014707697846461087j),(0.4258928596973419+0.3821764886379242j),(0.009942972101271152+0.0009992081904783845j),(0.4253777265548706+0.3822902739048004j),(0.004747495520859957+0.0004983000690117478j),(0.9942459464073181+0.0006992275011725724j)
