dbp_xi,dbp_ntaps,SNR
1.1,41,15.652296457122434
1.15,41,15.652047155467354
1.2,41,15.652013687133055
1.05,41,15.648759353643754
1.1,37,15.647567020683617
1.15,37,15.646751374723602
1.05,37,15.646276031937635
1.2,37,15.643937502184999
1.0,41,15.643596868051029
1.0,37,15.642965386374605
0.95,37,15.637490705755361
0.95,41,15.636926089850364
1.05,33,15.636898527625682
1.0,33,15.636253982214773
1.1,33,15.635120613978513
0.95,33,15.634115790523067
1.15,33,15.630361436739328
0.9,37,15.629908438454898
0.9,33,15.629138261800984
0.9,41,15.628062944542782
0.95,29,15.624469003453092
1.2,33,15.624349888337699
1.0,29,15.622636340901261
0.9,29,15.622547337157673
0.85,33,15.621300113487957
0.85,37,15.619994098369325
1.05,29,15.618924421603197
0.85,29,15.618233152975712
0.85,41,15.617801188188398
1.1,29,15.611894626749681
0.8,29,15.61105859414285
0.8,33,15.610674576422747
0.8,37,15.607660921667431
0.85,25,15.606670955868939
0.9,25,15.606046391696983
0.8,41,15.605524124471927
1.15,29,15.604112032005675
0.8,25,15.603638034587101
0.95,25,15.602799257226428
1.0,25,15.596225738413798
1.2,29,15.592174251244778
1.05,25,15.587411384123762
0.8,21,15.583848093311625
0.85,21,15.579956233574311
1.1,25,15.574958813090179
0.9,21,15.572117695667274
0.95,21,15.562721093367715
1.15,25,15.560049519472976
0.68,17,15.553232928298549
0.7300000000000001,17,15.550759625558186
0.63,17,15.550470262331562
1.0,21,15.549692155564516
0.5800000000000001,17,15.54289555261623
0.78,17,15.542833298695305
1.2,25,15.541626273495709
1.05,21,15.53297834828832
0.53,17,15.530501967938953
0.8800000000000001,17,15.518015845807618
0.48000000000000004,17,15.512862355920847
0.8300000000000001,17,15.512633223870086
1.1,21,15.512258692364131
0.56,13,15.51040543017961
0.6100000000000001,13,15.507418781725084
0.51,13,15.505610116258543
0.66,13,15.497820582405183
0.4600000000000001,13,15.494498249433388
1.15,21,15.48783608828942
0.7100000000000001,13,15.484599773001094
0.41000000000000003,13,15.477481647998717
0.76,13,15.47006712589052
1.2,21,15.459851226210446
0.36000000000000004,13,15.455704345775379
0.44000000000000006,9,15.452878166377449
0.49000000000000005,9,15.449891832790772
0.54,9,15.436441092139155
0.3400000000000001,9,15.433906370082024
0.39000000000000007,9,15.42557507556165
0.5900000000000001,9,15.419963097650477
0.29000000000000004,9,15.413439467113989
0.6400000000000001,9,15.394564217563666
0.24000000000000005,9,15.384844691304949
0.32,5,15.379796511057046
0.27,5,15.375630966896804
0.37,5,15.372506389316623
0.22,5,15.358640874175197
0.42000000000000004,5,15.35137545760948
0.17,5,15.32876800653235
0.47,5,15.316625812484146
0.15000000000000002,1,15.302556600283921
0.2,1,15.29618537016699
0.12,5,15.287001865187857
0.1,1,15.278385084441236
0.52,5,15.27091090428252
0.25,1,15.259106328954381
0.05000000000000002,1,15.224841293729451
0.30000000000000004,1,15.189663559535676
0.0,1,15.139370858001481
0.35,1,15.090355858472735
0.4,1,14.964312143040017
