dbp_xi,dbp_ntaps,SNR
0.15000000000000002,1,15.302556600283921
0.38,7,15.414140127216731
0.56,13,15.51040543017961
0.74,19,15.564367845742943
0.85,25,15.606670955868939
1.0,31,15.627031054397264
1.1,37,15.647567020683617
