fs,D0,N0,D1,N1,D2,N2,R
-29.49609374999999,(-0.9319995045661926+0.37738001346588135j),(0.000911842449568212+0.0008456323412247002j),(-0.9323980212211609+0.37907281517982483j),(0.00040541167254559696+0.00010844841744983569j),(-0.9319254159927368+0.37901630997657776j),(0.0007137409993447363+0.0016179503872990608j),(0.9872299432754517-5.7312758144689724e-05j)
-29.487304687500004,(-0.960086464881897+0.3022853136062622j),(0.000993757857941091+0.0008374575991183519j),(-0.9604817032814026+0.3040550649166107j),(0.0004893334698863328+9.70290566328913e-05j),(-0.9599754214286804+0.3040904998779297j),(0.0007757233106531203+0.0016164188273251057j),(0.9872575402259827-6.347772432491183e-05j)
-29.478515625,(-0.9818910956382751+0.22517652809619904j),(0.0010748954955488443+0.0008290501427836716j),(-0.98228520154953+0.22701390087604523j),(0.0005726325325667858+8.545845048502088e-05j),(-0.9817531108856201+0.2271360158920288j),(0.0008373751188628376+0.001614587614312768j),(0.9872849583625793-7.010152330622077e-05j)
-29.4697265625,(-0.9972708225250244+0.14655354619026184j),(0.0011552228825166821+0.0008204092155210674j),(-0.9976662397384644+0.1484488546848297j),(0.0006552865379489958+7.374164852080867e-05j),(-0.9971161484718323+0.14865165948867798j),(0.000898679718375206+0.001612456631846726j),(0.9873122572898865-7.711490616202354e-05j)
-29.460937500000004,(-1.0061250925064087+0.06692644953727722j),(0.001234723487868905+0.000811538309790194j),(-1.0065240859985352+0.06886894255876541j),(0.000737274531275034+6.187697727000341e-05j),(-1.0059640407562256+0.06914542615413666j),(0.0009596258169040084+0.001610028208233416j),(0.9873392581939697-8.44932728796266e-05j)
-29.452148437499996,(-1.0083963871002197-0.013189016841351986j),(0.0013133686734363437+0.0008024353883229196j),(-1.0088014602661133-0.011210239492356777j),(0.0008185742190107703+4.986881322111003e-05j),(-1.0082393884658813-0.010867428034543991j),(0.001020197058096528+0.0016073015285655856j),(0.9873663187026978-9.229714487446472e-05j)
-29.443359375,(-1.0040699243545532-0.09327365458011627j),(0.0013911373680457473+0.0007931047584861517j),(-1.0044838190078735-0.09126998484134674j),(0.000899164064321667+3.771933552343398e-05j),(-1.0039279460906982-0.09086874127388j),(0.0010803809855133295+0.0016042813658714294j),(0.9873929023742676-0.00010053054575109854j)
-29.434570312499996,(-0.9931747317314148-0.1728084832429886j),(0.001468004658818245+0.0007835444994270802j),(-0.9935997128486633-0.17079153656959534j),(0.0009790263138711452+2.5429853849345818e-05j),(-0.9930580854415894-0.17034083604812622j),(0.00114016467705369+0.0016009664395824075j),(0.9874195456504822-0.00010915170423686504j)
-29.425781250000004,(-0.9757824540138245-0.2512784004211426j),(0.0015439470298588276+0.0007737590931355953j),(-0.9762213230133057-0.24926002323627472j),(0.0010581379756331444+1.300143230764661e-05j),(-0.9757015705108643-0.2487688660621643j),(0.0011995336972177029+0.0015973583795130253j),(0.9874457716941833-0.00011821772204712033j)
-29.416992187499993,(-0.9520077705383301-0.32817497849464417j),(0.0016189441084861755+0.0007637480739504099j),(-0.9524626135826111-0.3261672258377075j),(0.0011364801321178675+4.381188034585648e-07j),(-0.9519723057746887-0.32564499974250793j),(0.0012584734940901399+0.001593462424352765j),(0.9874719977378845-0.0001275920803891495j)
-29.408203125,(-0.9220062494277954-0.4030001163482666j),(0.0016929707489907742+0.0007535121985711157j),(-0.9224797487258911-0.4010153114795685j),(0.0012140357866883278-1.2261748452147003e-05j),(-0.922025740146637-0.400471955537796j),(0.0013169734738767147+0.0015892746159806848j),(0.9874979257583618-0.00013737744302488863j)
-29.3994140625,(-0.8859748244285583-0.47526946663856506j),(0.0017660041339695454+0.0007430547848343849j),(-0.8864688277244568-0.4733194410800934j),(0.001290779677219689-2.5091610950767063e-05j),(-0.8860581517219543-0.4727649390697479j),(0.0013750173384323716+0.0015848004259169102j),(0.9875235557556152-0.00014757309691049159j)
-29.390624999999996,(-0.8441491723060608-0.544515073299408j),(0.001838024239987135+0.0007323767058551311j),(-0.8446661233901978-0.5426116585731506j),(0.0013666930608451366-3.805010055657476e-05j),(-0.8443048000335693-0.5420557260513306j),(0.001432594028301537+0.0015800418332219124j),(0.9875491857528687-0.00015814050857443362j)
-29.381835937500004,(-0.7968032360076904-0.6102883815765381j),(0.001909006154164672+0.0007214807556010783j),(-0.7973448038101196-0.6084430813789368j),(0.0014417594065889716-5.1139861170668155e-05j),(-0.7970383763313293-0.6078963279724121j),(0.001489690039306879+0.001574998372234404j),(0.9875743389129639-0.00016906854580156505j)
-29.373046875000007,(-0.7442463636398315-0.6721636652946472j),(0.0019789335783571005+0.0007103668176569045j),(-0.7448142170906067-0.6703880429267883j),(0.0015159588074311614-6.435167597373948e-05j),(-0.74456787109375-0.6698601245880127j),(0.0015462908195331693+0.00156967353541404j),(0.9875994324684143-0.00018032242951449007j)
-29.3642578125,(-0.6868219375610352-0.7297403812408447j),(0.0020477755460888147+0.0006990342517383397j),(-0.6874173879623413-0.728044867515564j),(0.0015892694937065244-7.769119110889733e-05j),(-0.6872352361679077-0.7275457382202148j),(0.0016023878706619143+0.0015640691854059696j),(0.9876242876052856-0.0001920293871080503j)
-29.35546874999999,(-0.6249047517776489-0.782645583152771j),(0.002115520415827632+0.0006874901009723544j),(-0.6255289912223816-0.7810407280921936j),(0.0016616740031167865-9.114827116718516e-05j),(-0.6254149079322815-0.7805799841880798j),(0.0016579654766246676+0.001558187766931951j),(0.9876487851142883-0.00020402544760145247j)
-29.346679687500007,(-0.5588986873626709-0.8305367827415466j),(0.0021821423433721066+0.0006757332012057304j),(-0.5595525503158569-0.8290323615074158j),(0.0017331575509160757-0.00010472742724232376j),(-0.5595093369483948-0.8286190032958984j),(0.0017130105989053845+0.0015520292799919844j),(0.9876734018325806-0.00021641746570821851j)
-29.337890625,(-0.4892341196537018-0.8731042742729187j),(0.002247620839625597+0.0006637671613134444j),(-0.48991838097572327-0.8717089295387268j),(0.0018036958063021302-0.00011842157255159691j),(-0.4899478852748871-0.8713516592979431j),(0.001767513109371066+0.0015455979155376554j),(0.987697422504425-0.00022917959722690284j)
-29.329101562499996,(-0.41636475920677185-0.910071849822998j),(0.002311933785676956+0.000651589478366077j),(-0.4170793890953064-0.9087938666343689j),(0.0018732717726379633-0.00013223093992564827j),(-0.41718319058418274-0.9085009694099426j),(0.0018214596202597022+0.001538895070552826j),(0.9877214431762695-0.00024230418785009533j)
-29.3203125,(-0.3407649099826813-0.9412000775337219j),(0.0023750655818730593+0.0006392065552063286j),(-0.3415096402168274-0.9400469660758972j),(0.0019418713636696339-0.0001461509964428842j),(-0.34168800711631775-0.9398260116577148j),(0.001874837907962501+0.0015319238882511854j),(0.9877452254295349-0.00025568032287992537j)
-29.311523437500004,(-0.2629260718822479-0.9662874341011047j),(0.0024369924794882536+0.0006266182754188776j),(-0.26370057463645935-0.9652652144432068j),(0.0020094753708690405-0.00016018185124266893j),(-0.26395314931869507-0.9651228189468384j),(0.001927637029439211+0.0015246840193867683j),(0.9877687692642212-0.00026939110830426216j)
-29.302734374999996,(-0.18335407972335815-0.9851707220077515j),(0.0024976946879178286+0.0006138303433544934j),(-0.18415778875350952-0.9842850565910339j),(0.0020760642364621162-0.00017431886226404458j),(-0.18448325991630554-0.9842274188995361j),(0.0019798444118350744+0.0015171820996329188j),(0.9877919554710388-0.0002834874321706593j)
-29.2939453125,(-0.10256590694189072-0.99772709608078j),(0.0025571580044925213+0.0006008394993841648j),(-0.10339739173650742-0.9969826340675354j),(0.002141621196642518-0.00018856243696063757j),(-0.10379351675510406-0.9970150589942932j),(0.0020314494613558054+0.0015094173140823841j),(0.9878152012825012-0.0002978216507472098j)
-29.285156250000007,(-0.021085310727357864-1.0038748979568481j),(0.002615357283502817+0.0005876489449292421j),(-0.021943336352705956-1.0032747983932495j),(0.0022061304189264774-0.00020290736574679613j),(-0.022407401353120804-1.0034016370773315j),(0.002082440070807934+0.0015013918746262789j),(0.9878380298614502-0.0003126285155303776j)
-29.276367187500004,(0.06055929884314537-1.003572940826416j),(0.0026722776237875223+0.0005742651410400867j),(0.059677015990018845-1.0031200647354126j),(0.002269577234983444-0.0002173546963604167j),(0.05914852023124695-1.0033444166183472j),(0.0021328050643205643+0.001493109972216189j),(0.9878607392311096-0.00032750325044617057j)
-29.267578124999993,(0.14183926582336426-0.9968222379684448j),(0.0027278957422822714+0.0005606825579889119j),(0.14093443751335144-0.9965175986289978j),(0.002331941621378064-0.00023189383500721306j),(0.14034631848335266-0.9968425035476685j),(0.0021825337316840887+0.001484575099311769j),(0.9878830313682556-0.00034288139431737363j)
-29.258789062500007,(0.22222869098186493-0.983665406703949j),(0.0027822006959468126+0.0005469123716466129j),(0.22130385041236877-0.983508825302124j),(0.002393207745626569-0.0002465310972183943j),(0.2206611931324005-0.9839355945587158j),(0.002231613267213106+0.0014757845783606172j),(0.9879052042961121-0.00035832676803693175j)
-29.25,(0.30120760202407837-0.9641854166984558j),(0.0028351685032248497+0.0005329500418156385j),(0.3002657890319824-0.9641764760017395j),(0.002453363500535488-0.0002612597600091249j),(0.2995745539665222-0.9647055864334106j),(0.002280035987496376+0.0014667476061731577j),(0.9879270195960999-0.00037421457818709314j)
